"marker","count"
"ACTB","1"
"ACTG1","1"
"ALDH1A1","1"
"CCR6","1"
"CCR7","7"
"CD127","1"
"CD154","1"
"CD161","1"
"CD27","2"
"CD28","1"
"CD3","10"
"CD3D","8"
"CD3E","3"
"CD3G","1"
"CD4","32"
"CD4+","1"
"CD44","1"
"CD45","1"
"CD79A","1"
"CD8+","1"
"CDKN2A","1"
"CDR1","1"
"CDR2","1"
"CRTH2","1"
"CTLA4","1"
"DLA-CTC","1"
"EGFR","1"
"EN1","1"
"ERAP1","1"
"ERAP2","1"
"FAM102A","1"
"FOX","1"
"FOXO3","1"
"FOXP3","3"
"GLUT1","1"
"Gzma","1"
"Gzmb","1"
"Gzmk","1"
"HERV-H","1"
"HERV-K","1"
"HERV-W","1"
"HLA-B*2705","1"
"HLA-B*2709","1"
"HLA-B27","1"
"IDH1","1"
"IFN-gama","1"
"IKZF2","2"
"IL-10","2"
"IL12RB1","1"
"IL2RA","1"
"IL32","1"
"IL4R","1"
"IL7R","10"
"IRF7","1"
"IRF8","1"
"IRF9","1"
"KHDC3L MII-1","1"
"KHDC3L MII-2","1"
"KHDC3L MII-3","1"
"KHDC3L MII-5","1"
"KHDC3L MII-6","1"
"Klrg1","1"
"LRRN3","1"
"LTB","4"
"MEIS2","1"
"MYO1G","1"
"OAS1","1"
"OAS2","1"
"PFN1","1"
"PTPRC","1"
"RNF43","1"
"RORA","1"
"rs75712673","1"
"rs75862629","1"
"S100A10","1"
"S100A11","1"
"S100A4","2"
"SELL","4"
"SOHLH2","1"
"SOX","1"
"STAT2","1"
"STAT4","1"
"STAT6","1"
"TCF7","2"
"TIGIT","1"
"TNF-a","1"
"TNFAIP3","1"
"TNFRSF9","1"
"TNFSF13","1"
"TNFSF3","1"
"TRIM21","1"
"TUBB","1"
"Zeb2","1"
"ZFP36","1"
"ZFP36L1","1"
"ZNRF3","1"
