"marker","count"
"Bmp4","1"
"CCR7","1"
"CD11c","6"
"CD123","1"
"CD141","2"
"CD163","1"
"CD1C","7"
"CD1E","1"
"CD34","1"
"CD40","1"
"CD80","2"
"CD83","6"
"CD86","3"
"CLEC10A","4"
"CLEC12A","1"
"CLEC4C","2"
"CLEC9A","1"
"CST3","3"
"CYBA","1"
"FCER1A","11"
"FLT3","1"
"HLA-DPA1","1"
"HLA-DQA1","1"
"HLA-DR","4"
"HLADR","2"
"HPGD","1"
"HSPA5","1"
"IFI6","1"
"IFITM3","1"
"IGJ","1"
"IL3RA","4"
"IL5RA","1"
"IRF7","1"
"IRF8","1"
"ISG15","1"
"LILRA4","3"
"LILRB4","1"
"Lin","1"
"LYZ","1"
"MHC class II","1"
"MS4A3","1"
"MZB1","1"
"NRP1","1"
"PLD4","1"
"Sox2","1"
"UBC","1"
