"marker","count"
"33D1","1"
"ABCA2","1"
"ABCA7","1"
"ABHD15","1"
"ABI2","1"
"ABPARTS","1"
"ADA","1"
"ADAM19","1"
"AHCY","1"
"AHI1","1"
"AHNAK2","1"
"AK057596","1"
"AK093551","1"
"AK095700","1"
"AK128525","1"
"AL833181","1"
"ALDH5A1","1"
"ALG2","1"
"ALOX5AP","1"
"ANKRD36","1"
"ANKRD36B","1"
"ANKRD36BP1","1"
"ANKS3","1"
"APP","1"
"ARHGEF4","1"
"ARL6IP6","1"
"ASPH","1"
"ATP13A2","1"
"ATP2A3","1"
"AX747844","1"
"B4GALT1","1"
"BC034268","1"
"BC051760","1"
"BCL11A","1"
"BDCA2","1"
"BEX4","1"
"BLNK","1"
"BTAF1","1"
"BX647938","1"
"C10ORF118","1"
"C10ORF58","1"
"C12ORF44","1"
"C12ORF45","1"
"C12ORF75","1"
"C17ORF109","1"
"C18ORF8","1"
"C1ORF186","1"
"C1ORF55","1"
"C5ORF45","1"
"C5ORF62","1"
"C5ORF64","1"
"C6ORF170","1"
"C6ORF25","1"
"C9ORF142","1"
"C9ORF91","1"
"CARD11","1"
"CCDC50","1"
"CCDC69","1"
"CCR2","1"
"CCS","1"
"CD11b","1"
"CD11c","1"
"CD123","3"
"CD164","1"
"CD197","1"
"CD1a","1"
"CD1b","1"
"CD1c","1"
"CD273","1"
"CD2AP","1"
"CD303","1"
"CD304","1"
"CD4","1"
"CD40","1"
"CD45R","1"
"CD49d","1"
"CD8","1"
"CD80","1"
"CD83","1"
"CD85g","1"
"CD86","1"
"CD99","1"
"CDCA7L","1"
"CEP135","1"
"CLCN5","1"
"CLEC4C","1"
"CLIC3","1"
"CLN8","1"
"CMKLR1","1"
"CNP","1"
"COBLL1","1"
"COL24A1","1"
"CREB3L2","1"
"CRIM1","1"
"CRYM","1"
"CRYM-AS1","1"
"CSF2RB","1"
"CSNK1E","1"
"CTNS","1"
"CTSB","1"
"CUX2","1"
"CXCR3","1"
"CXORF21","1"
"CYBASC3","1"
"CYP46A1","1"
"CYSLTR1","1"
"CYTH4","1"
"DAAM1","1"
"DAB2","1"
"DAPK2","1"
"DCK","1"
"DCPS","1"
"DENND5B","1"
"DERL3","1"
"DHRS7","1"
"DHTKD1","1"
"DKFZP586I1420","1"
"DKFZP667P0924","1"
"DPPA4","1"
"DQ572107","1"
"DQ576756","1"
"DSN1","1"
"DUSP5","1"
"EFHC1","1"
"EGLN3","1"
"EIF4A3","1"
"EMB","1"
"EPHB1","1"
"ERN1","1"
"ERO1LB","1"
"ERP29","1"
"F4/80","1"
"FAM129C","1"
"FAM160A1","1"
"FCHSD2","1"
"FKBP2","1"
"FLJ42627","1"
"FLJ43663","1"
"FLNB","1"
"FMNL3","1"
"FOXRED2","1"
"FUT7","1"
"FZD3","1"
"GAB1","1"
"GALNT2","1"
"GAPT","1"
"GAS6","1"
"GGA2","1"
"GLCE","1"
"GNG7","1"
"GPM6B","1"
"GPR114","1"
"GPR183","1"
"GZMB","2"
"HERPUD1","1"
"HIGD1A","1"
"HLA-DR","1"
"HNRNPA1L2","1"
"HPS4","1"
"HSP90B1","1"
"IDH3A","1"
"IFI44L","1"
"IGFBP3","1"
"IGFLR1","1"
"IGJ","1"
"IL28RA","1"
"IL3RA","1"
"IQGAP2","1"
"IRF2BP2","1"
"IRF4","1"
"IRF7","1"
"IRF8","1"
"ITGAE","1"
"ITM2C","1"
"ITPR1","1"
"ITPR2","1"
"KANK1","1"
"KIAA0226","1"
"KIAA0226L","1"
"KIRREL3","1"
"KRR1","1"
"KRT5","1"
"LAIR1","1"
"LAMP5","1"
"LGMN","1"
"LILRA4","1"
"LILRB4","1"
"LIME1","1"
"LMAN1","1"
"LOC100131089","1"
"LOC100131564","1"
"LOC100233209","1"
"LOC100507600","1"
"LOC284551","1"
"LOC285972","1"
"LOC400657","1"
"LOC642776","1"
"LOC644961","1"
"LOC652276","1"
"LRP8","1"
"LRRC36","1"
"LTB","1"
"LY9","1"
"MAGED1","1"
"MAN2B1","1"
"MAP1A","1"
"MAP2K6","1"
"MAP4K4","1"
"MAPKAPK2","1"
"MCOLN2","1"
"MDFIC","1"
"MDN1","1"
"MEF2D","1"
"MFSD2A","1"
"MGAT4A","1"
"MHC Class II","1"
"MIF4GD","1"
"MILR1","1"
"MINA","1"
"MRPL36","1"
"MS4A6A","1"
"MYB","1"
"MYBL2","1"
"MYO1E","1"
"MZB1","1"
"N4BP2","1"
"N4BP2L1","1"
"NAPSA","1"
"NCF1","1"
"NCF1B","1"
"NCF1C","1"
"NEK8","1"
"NFATC2IP","1"
"NFX1","1"
"NGLY1","1"
"NICN1","1"
"NOP56","1"
"NOTCH4","1"
"NPC1","1"
"NPC2","1"
"NRP1","2"
"NUCB2","1"
"OCLN","1"
"OFD1","1"
"OGT","1"
"OVOS2","1"
"P2RY14","1"
"P2RY6","1"
"P4HB","1"
"PACSIN1","1"
"PAFAH2","1"
"PAIP1","1"
"PAPLN","1"
"PARK7","1"
"PARP10","1"
"PCMTD1","1"
"PCNX","1"
"PCYOX1","1"
"PDCD4","1"
"PDIA4","1"
"PFKFB2","1"
"PFKP","1"
"PHC3","1"
"PHEX","1"
"PHLPP2","1"
"PIK3CD","1"
"PLA2G16","1"
"PLAC8","1"
"PLD4","1"
"PLP2","1"
"PLXNA4","1"
"PMS2L2","1"
"PMS2P5","1"
"POLB","1"
"PPARA","1"
"PPFIBP1","1"
"PPM1J","1"
"PPM1K","1"
"PPP1R14B","1"
"PPP6R1","1"
"PTCRA","1"
"PTK7","1"
"PTPRCAP","1"
"PTPRS","1"
"QDPR","1"
"RABGAP1L","1"
"RASD1","1"
"RCL1","1"
"RNASE6","1"
"RNASEH2B","1"
"RNASET2","1"
"RNF5","1"
"RRBP1","1"
"RREB1","1"
"RUNX2","1"
"S100PBP","1"
"SBDS","1"
"SCAMP5","1"
"SCARB2","1"
"SCN9A","1"
"SEC11C","1"
"SEC61A1","1"
"SEC61B","1"
"SEC61G","1"
"SEL1L3","1"
"SELL","1"
"SELS","1"
"Sep11","1"
"SEPT1'","1"
"SERPINF1","1"
"SERTAD2","1"
"SETBP1","1"
"SFT2D2","1"
"SGSM3","1"
"SIDT1","1"
"Siglec H","1"
"SIT1","1"
"SIVA1","1"
"SLA2","1"
"SLC12A2","1"
"SLC12A3","1"
"SLC15A4","1"
"SLC20A1","1"
"SLC23A2","1"
"SLC2A1","1"
"SLC33A1","1"
"SLC35E2","1"
"SLC38A1","1"
"SLC38A2","1"
"SLC3A2","1"
"SLC7A11","1"
"SLC7A5","1"
"SMC6","1"
"SMPD3","1"
"SND1","1"
"SNRNP25","1"
"SNRPN","1"
"SNURF-SNRPN","1"
"SOLH","1"
"SORL1","1"
"SP4","1"
"SPATA5","1"
"SPCS1","1"
"SPG20","1"
"SPIB","1"
"SPICE1","1"
"SPNS3","1"
"SPON2","1"
"SRPR","1"
"SSR4","1"
"ST3GAL2","1"
"ST3GAL4","1"
"ST6GALNAC4","1"
"STAG3L1","1"
"STAG3L3","1"
"STAMBPL1","1"
"STMN1","1"
"STRBP","1"
"STT3A","1"
"SULF2","1"
"SUSD1","1"
"SUZ12P","1"
"SYS1","1"
"TACC1","1"
"TASP1","1"
"TATDN3","1"
"TAX1BP3","1"
"TBC1D4","1"
"TBCC","1"
"TCF4","1"
"TCL1A","1"
"TCL6","1"
"TEX2","1"
"TGFBI","1"
"TGFBR2","1"
"THSD1P1","1"
"TLR7","1"
"TMEM109","1"
"TMEM19","1"
"TMEM63A","1"
"TMIGD2","1"
"TNFAIP3","1"
"TNFRSF21","1"
"TP53I11","1"
"TP53I13","1"
"TPM2","1"
"TPST2","1"
"TRAF4","1"
"TRAM1","1"
"TRDMT1","1"
"TRIM74","1"
"TRRAP","1"
"TSPAN13","1"
"TSPAN3","1"
"TTC24","1"
"TUBB6","1"
"TULP4","1"
"TXN","1"
"TXNDC5","1"
"UBA5","1"
"UBE2J1","1"
"UGCG","1"
"USP11","1"
"USP24","1"
"VAMP1","1"
"VEGFB","1"
"VIPR2","1"
"ZBTB33","1"
"ZCCHC11","1"
"ZDHHC17","1"
"ZDHHC4","1"
"ZFAT","1"
"ZFYVE26","1"
"ZNF506","1"
"ZNF527","1"
